datesold,postcode,price,propertyType,bedrooms
2007-02-07 00:00:00,2612,278293,townhouse,5
2007-02-14 00:00:00,2602,341041,townhouse,4
2007-02-21 00:00:00,2905,467515,unit,2
2007-02-28 00:00:00,2602,260088,house,3
2007-03-07 00:00:00,2602,426000,townhouse,4
2007-03-14 00:00:00,2906,488121,house,3
2007-03-21 00:00:00,2905,386631,unit,4
2007-03-28 00:00:00,2905,215257,unit,3
2007-04-04 00:00:00,2905,376148,townhouse,2
2007-04-11 00:00:00,2602,343510,unit,5
2007-04-18 00:00:00,2612,900000,house,2
2007-04-25 00:00:00,2905,408890,townhouse,5
2007-05-02 00:00:00,2602,287624,house,3
2007-05-09 00:00:00,2906,282488,house,4
2007-05-16 00:00:00,2612,337957,unit,2
2007-05-23 00:00:00,2906,272755,unit,5
2007-05-30 00:00:00,2612,362039,unit,2
2007-06-06 00:00:00,2602,340926,unit,5
2007-06-13 00:00:00,2607,560682,unit,2
2007-06-20 00:00:00,2612,267993,townhouse,5
2007-06-27 00:00:00,2906,287436,house,5
2007-07-04 00:00:00,2602,383915,house,3
2007-07-11 00:00:00,2612,419816,house,5
2007-07-18 00:00:00,2607,532978,house,3
2007-07-25 00:00:00,2607,479834,unit,5
2007-08-01 00:00:00,2905,415899,house,4
2007-08-08 00:00:00,2905,373445,townhouse,4
2007-08-15 00:00:00,2906,421730,townhouse,4
2007-08-22 00:00:00,2612,301174,house,5
2007-08-29 00:00:00,2612,324707,house,3
2007-09-05 00:00:00,2905,231406,townhouse,3
2007-09-12 00:00:00,2612,331692,townhouse,5
2007-09-19 00:00:00,2612,427011,unit,4
2007-09-26 00:00:00,2607,333225,townhouse,4
2007-10-03 00:00:00,2905,288077,unit,3
2007-10-10 00:00:00,2602,50000,unit,4
2007-10-17 00:00:00,2905,407927,unit,2
2007-10-24 00:00:00,2602,329539,unit,3
2007-10-31 00:00:00,2607,417994,unit,4
2007-11-07 00:00:00,2906,245094,house,3
2007-11-14 00:00:00,2612,280376,townhouse,2
2007-11-21 00:00:00,2607,309469,unit,3
2007-11-28 00:00:00,2612,245204,townhouse,3
2007-12-05 00:00:00,2906,585493,townhouse,3
2007-12-12 00:00:00,2906,262299,unit,3
2007-12-19 00:00:00,2607,423191,house,2
2007-12-26 00:00:00,2906,296715,unit,5
2008-01-02 00:00:00,2602,308897,house,3
2008-01-09 00:00:00,2906,374106,townhouse,3
2008-01-16 00:00:00,2612,233319,house,4
2008-01-23 00:00:00,2612,296981,house,3
2008-01-30 00:00:00,2612,338282,house,4
2008-02-06 00:00:00,2612,282319,townhouse,5
2008-02-13 00:00:00,2602,284201,townhouse,2
2008-02-20 00:00:00,2905,436938,house,2
2008-02-27 00:00:00,2607,430399,house,5
2008-03-05 00:00:00,2612,314659,unit,2
2008-03-12 00:00:00,2906,343267,house,5
2008-03-19 00:00:00,2612,448961,unit,5
2008-03-26 00:00:00,2906,235882,house,5
2008-04-02 00:00:00,2906,377042,unit,2
2008-04-09 00:00:00,2612,507966,townhouse,4
2008-04-16 00:00:00,2602,507203,house,5
2008-04-23 00:00:00,2906,194807,house,3
2008-04-30 00:00:00,2906,288990,house,2
2008-05-07 00:00:00,2612,363493,house,5
2008-05-14 00:00:00,2906,244250,unit,5
2008-05-21 00:00:00,2906,296540,house,3
2008-05-28 00:00:00,2612,339017,townhouse,4
2008-06-04 00:00:00,2612,462106,townhouse,4
2008-06-11 00:00:00,2607,1100000,house,4
2008-06-18 00:00:00,2602,367355,townhouse,5
2008-06-25 00:00:00,2602,390994,house,5
2008-07-02 00:00:00,2906,393479,house,5
2008-07-09 00:00:00,2602,352248,townhouse,2
2008-07-16 00:00:00,2906,254233,house,3
2008-07-23 00:00:00,2607,413174,townhouse,5
2008-07-30 00:00:00,2612,384519,unit,3
2008-08-06 00:00:00,2612,262260,house,3
2008-08-13 00:00:00,2612,295416,unit,4
2008-08-20 00:00:00,2602,421001,townhouse,2
2008-08-27 00:00:00,2607,398439,unit,5
2008-09-03 00:00:00,2602,292376,unit,4
2008-09-10 00:00:00,2602,328405,townhouse,4
2008-09-17 00:00:00,2607,338523,unit,5
2008-09-24 00:00:00,2607,399360,unit,3
2008-10-01 00:00:00,2607,449915,townhouse,4
2008-10-08 00:00:00,2607,355252,unit,3
2008-10-15 00:00:00,2612,30000,townhouse,2
2008-10-22 00:00:00,2905,419865,unit,3
2008-10-29 00:00:00,2905,366452,townhouse,2
2008-11-05 00:00:00,2607,234521,townhouse,3
2008-11-12 00:00:00,2905,267783,unit,4
2008-11-19 00:00:00,2905,409299,unit,4
2008-11-26 00:00:00,2607,213158,unit,2
2008-12-03 00:00:00,2905,359518,house,5
2008-12-10 00:00:00,2602,430039,house,2
2008-12-17 00:00:00,2906,362194,house,2
2008-12-24 00:00:00,2906,301888,townhouse,3
2008-12-31 00:00:00,2607,282271,unit,3
